country,city,city_year,city_average_temp,global_year,global_avg_temp
United States,Los Angeles,1981,16.89,1981,9.17
United States,Los Angeles,1982,15.44,1982,8.64
United States,Los Angeles,1983,16.20,1983,9.03
United States,Los Angeles,1984,16.76,1984,8.69
United States,Los Angeles,1985,15.96,1985,8.66
United States,Los Angeles,1986,16.50,1986,8.83
United States,Los Angeles,1987,16.09,1987,8.99
United States,Los Angeles,1988,16.44,1988,9.20
United States,Los Angeles,1989,16.36,1989,8.92
United States,Los Angeles,1990,16.37,1990,9.23
United States,Los Angeles,1991,16.00,1991,9.18
United States,Los Angeles,1992,16.79,1992,8.84
United States,Los Angeles,1993,16.36,1993,8.87
United States,Los Angeles,1994,16.29,1994,9.04
United States,Los Angeles,1995,16.64,1995,9.35
United States,Los Angeles,1996,17.08,1996,9.04
United States,Los Angeles,1997,16.93,1997,9.20
United States,Los Angeles,1998,15.37,1998,9.52
United States,Los Angeles,1999,16.12,1999,9.29
United States,Los Angeles,2000,16.64,2000,9.20
United States,Los Angeles,2001,16.47,2001,9.41
United States,Los Angeles,2002,16.43,2002,9.57
United States,Los Angeles,2003,16.94,2003,9.53
United States,Los Angeles,2004,16.55,2004,9.32
United States,Los Angeles,2005,16.43,2005,9.70
United States,Los Angeles,2006,16.62,2006,9.53
United States,Los Angeles,2007,16.70,2007,9.73
United States,Los Angeles,2008,17.01,2008,9.43
United States,Los Angeles,2009,16.68,2009,9.51
United States,Los Angeles,2010,15.89,2010,9.70
United States,Los Angeles,2011,15.87,2011,9.52
United States,Los Angeles,2012,17.09,2012,9.51
United States,Los Angeles,2013,18.12,2013,9.61
